state,county,persons,hud_med_inc,hud_inc_lim80
5,41,5,39200,41650
5,41,6,39200,44750
5,41,7,39200,47850
5,41,8,39200,50900
5,43,1,48100,27000
5,43,2,48100,30850
5,43,3,48100,34700
5,43,4,48100,38550
5,43,5,48100,41650
5,43,6,48100,44750
5,43,7,48100,47850
5,43,8,48100,50900
5,45,1,66300,37150
5,45,2,66300,42450
5,45,3,66300,47750
5,45,4,66300,53050
5,45,5,66300,57300
5,45,6,66300,61550
5,45,7,66300,65800
5,45,8,66300,70050
5,47,1,48200,27000
5,47,2,48200,30850
5,47,3,48200,34700
5,47,4,48200,38550
5,47,5,48200,41650
5,47,6,48200,44750
5,47,7,48200,47850
5,47,8,48200,50900
5,49,1,45700,27000
5,49,2,45700,30850
5,49,3,45700,34700
5,49,4,45700,38550
5,49,5,45700,41650
5,49,6,45700,44750
5,49,7,45700,47850
5,49,8,45700,50900
5,51,1,52700,29550
5,51,2,52700,33750
5,51,3,52700,37950
5,51,4,52700,42150
5,51,5,52700,45550
5,51,6,52700,48900
5,51,7,52700,52300
5,51,8,52700,55650
5,53,1,60100,33700
5,53,2,60100,38500
5,53,3,60100,43300
5,53,4,60100,48100
5,53,5,60100,51950
5,53,6,60100,55800
5,53,7,60100,59650
5,53,8,60100,63500
5,55,1,54900,30750
5,55,2,54900,35150
5,55,3,54900,39550
5,55,4,54900,43900
5,55,5,54900,47450
5,55,6,54900,50950
5,55,7,54900,54450
5,55,8,54900,57950
5,57,1,44000,27000
5,57,2,44000,30850
5,57,3,44000,34700
5,57,4,44000,38550
5,57,5,44000,41650
5,57,6,44000,44750
5,57,7,44000,47850
5,57,8,44000,50900
5,59,1,50700,28400
5,59,2,50700,32450
5,59,3,50700,36500
5,59,4,50700,40550
5,59,5,50700,43800
5,59,6,50700,47050
5,59,7,50700,50300
5,59,8,50700,53550
5,61,1,45200,27000
5,61,2,45200,30850
5,61,3,45200,34700
5,61,4,45200,38550
5,61,5,45200,41650
5,61,6,45200,44750
5,61,7,45200,47850
5,61,8,45200,50900
5,63,1,47500,27000
5,63,2,47500,30850
5,63,3,47500,34700
5,63,4,47500,38550
5,63,5,47500,41650
5,63,6,47500,44750
5,63,7,47500,47850
5,63,8,47500,50900
5,65,1,44500,27000
5,65,2,44500,30850
5,65,3,44500,34700
5,65,4,44500,38550
5,65,5,44500,41650
5,65,6,44500,44750
5,65,7,44500,47850
5,65,8,44500,50900
5,67,1,42100,27000
5,67,2,42100,30850
5,67,3,42100,34700
5,67,4,42100,38550
5,67,5,42100,41650
5,67,6,42100,44750
5,67,7,42100,47850
5,67,8,42100,50900
5,69,1,47900,27000
5,69,2,47900,30850
5,69,3,47900,34700
5,69,4,47900,38550
5,69,5,47900,41650
5,69,6,47900,44750
5,69,7,47900,47850
5,69,8,47900,50900
5,71,1,45100,27000
5,71,2,45100,30850
5,71,3,45100,34700
5,71,4,45100,38550
5,71,5,45100,41650
5,71,6,45100,44750
5,71,7,45100,47850
5,71,8,45100,50900
5,73,1,42700,27000
5,73,2,42700,30850
5,73,3,42700,34700
5,73,4,42700,38550
5,73,5,42700,41650
5,73,6,42700,44750
5,73,7,42700,47850
5,73,8,42700,50900
5,75,1,43300,27000
5,75,2,43300,30850
5,75,3,43300,34700
5,75,4,43300,38550
5,75,5,43300,41650
5,75,6,43300,44750
5,75,7,43300,47850
5,75,8,43300,50900
5,77,1,37200,27000
5,77,2,37200,30850
5,77,3,37200,34700
5,77,4,37200,38550
5,77,5,37200,41650
5,77,6,37200,44750
5,77,7,37200,47850
5,77,8,37200,50900
5,79,1,47900,27000
5,79,2,47900,30850
5,79,3,47900,34700
5,79,4,47900,38550
5,79,5,47900,41650
5,79,6,47900,44750
5,79,7,47900,47850
5,79,8,47900,50900
5,81,1,49800,27900
5,81,2,49800,31900
5,81,3,49800,35900
5,81,4,49800,39850
5,81,5,49800,43050
5,81,6,49800,46250
5,81,7,49800,49450
5,81,8,49800,52650
5,83,1,44800,27000
5,83,2,44800,30850
5,83,3,44800,34700
5,83,4,44800,38550
5,83,5,44800,41650
5,83,6,44800,44750
5,83,7,44800,47850
5,83,8,44800,50900
5,85,1,66300,37150
5,85,2,66300,42450
5,85,3,66300,47750
5,85,4,66300,53050
5,85,5,66300,57300
5,85,6,66300,61550
5,85,7,66300,65800
5,85,8,66300,70050
5,87,1,65400,36650
5,87,2,65400,41850
5,87,3,65400,47100
5,87,4,65400,52300
5,87,5,65400,56500
5,87,6,65400,60700
5,87,7,65400,64900
5,87,8,65400,69050
5,89,1,45600,27000
5,89,2,45600,30850
5,89,3,45600,34700
5,89,4,45600,38550
5,89,5,45600,41650
5,89,6,45600,44750
5,89,7,45600,47850
5,89,8,45600,50900
5,91,1,52200,31650
5,91,2,52200,36200
5,91,3,52200,40700
5,91,4,52200,45200
5,91,5,52200,48850
5,91,6,52200,52450
5,91,7,52200,56050
5,91,8,52200,59700
5,93,1,44300,27000
5,93,2,44300,30850
5,93,3,44300,34700
5,93,4,44300,38550
5,93,5,44300,41650
5,93,6,44300,44750
5,93,7,44300,47850
5,93,8,44300,50900
5,95,1,38100,27000
5,95,2,38100,30850
5,95,3,38100,34700
5,95,4,38100,38550
5,95,5,38100,41650
5,95,6,38100,44750
5,95,7,38100,47850
5,95,8,38100,50900
5,97,1,44200,27000
5,97,2,44200,30850
